id;title;summary;hidden;authors;issue_tracking_key
1;optimize;invoice;false;Associate SDD;Shoes Intelligent Wooden Car Borders
2;Technician generate mint green;Bermudian Dollar (customarily known as Bermuda Dollar) enhance;false;Lead Small;Chief Technician
3;port Netherlands Antillian Guilder;Cambridgeshire Handcrafted Steel Chips;true;Cambridgeshire application conglomeration;directional
4;driver Auto Loan Account Assistant;Grocery Salad;true;vortals Avon Cheese;digital Minnesota Investment Account
5;Zimbabwe Dollar program moratorium;background Home Loan Account;false;payment;secured line
6;Cotton;deploy;false;Licensed Forward;capacitor Buckinghamshire Movies
7;payment;Rustic;false;payment;Plastic
8;Plastic Agent Accountability;New Jersey;false;Sleek Rubber Chips Sausages;Technician Keyboard
9;Savings Account Hawaii;Credit Card Account;true;Credit Card Account;Officer Ball
10;Chips Illinois PNG;withdrawal Savings Account;true;quantify Wyoming e-markets;knowledge base Corners
