id;title;summary;released;date
1;cohesive;Towels Fish;false;2020-01-04T10:04:03
2;Harbors Computers;incentivize orange;true;2020-01-04T03:26:11
3;intuitive Alaska e-tailers;sky blue Lead;true;2020-01-03T22:36:53
4;Product;Fresh e-tailers;false;2020-01-03T19:54:02
5;Licensed systems;Panama Kuwait;true;2020-01-03T12:16:21
6;lavender Personal Loan Account Handmade Steel Shirt;United Arab Emirates;false;2020-01-03T19:30:32
7;Ohio Tasty;executive virtual Gorgeous;false;2020-01-04T12:07:44
8;Licensed Practical Causeway;redundant Tasty Cotton Pizza;false;2020-01-03T13:14:19
9;Qatari Rial;web-readiness Fresh;false;2020-01-04T01:47:06
10;exploit Soft Practical;neural Russian Ruble AGP;false;2020-01-04T02:31:06
